source_id,priority,author,title,date,type,language,publisher_or_edition,url_or_identifier,status,notes
M-001,P0,Patrick Olivelle,"Manu's Code of Law: A Critical Edition and Translation of the Manava-Dharmasastra",2004,"critical edition + translation","Sanskrit/English","Oxford University Press",,TO_ACQUIRE,"Primary textual anchor"
M-002,P0,Sir William Jones,"Institutes of Hindu Law: The Ordinances of Manu",1794,translation,"Sanskrit/English","Calcutta",,TO_ACQUIRE,"Major early colonial translation"
M-003,P0,Georg Buhler,"The Laws of Manu",1886,translation,"Sanskrit/English","Sacred Books of the East XXV",,TO_ACQUIRE,"Major colonial translation"
M-004,P0,Medhatithi,"Manubhasya",,commentary,Sanskrit,,,TO_ACQUIRE,"Major early commentary"
M-005,P0,Govindaraja,"Manutika",,commentary,Sanskrit,,,TO_ACQUIRE,"Important commentary"
M-006,P0,Kulluka Bhatta,"Manvarthamuktavali",,commentary,Sanskrit,,,TO_ACQUIRE,"Influential recension/commentary"
D-001,P0,Patrick Olivelle,"Dharmasutras: The Law Codes of Apastamba Gautama Baudhayana and Vasistha",1999,"critical editions + translation","Sanskrit/English","Oxford University Press",,TO_ACQUIRE,"Comparative pre-Manu corpus"
D-002,P1,Yajnavalkya,"Yajnavalkya Smrti",,primary text,Sanskrit,,,TO_ACQUIRE,"Comparative Dharmashastra"
D-003,P1,Narada,"Narada Smrti",,primary text,Sanskrit,,,TO_ACQUIRE,"Comparative legal tradition"
S-001,P2,"Patrick Olivelle and Donald R. Davis","Hindu Law: A New History of Dharmaśastra",2018,"scholarly monograph",English,"Oxford University Press",,TO_ACQUIRE,"Historical framework"
