claim_id,claim,status,supporting_evidence,supporting_sources,counter_evidence,assessment,confidence
C-001,"Manusmriti has a recoverable textual tradition with manuscript variation",OPEN,,,,,
C-002,"The surviving Manusmriti manuscript tradition contains multiple textual readings",OPEN,,,,,
C-003,"Some manuscripts contain additional verses not accepted in the critical text",OPEN,,,,,
C-004,"The initial invocatory verse before verse 1 is absent from the Southern manuscript tradition",OPEN,,,,,
C-005,"The initial invocatory verse is present in 18 northern manuscripts",OPEN,,,,,
C-006,"Govinda comments on the initial invocatory verse",OPEN,,,,,
C-007,"Olivelle nevertheless classifies the initial invocatory verse as spurious",OPEN,,,,,
C-008,"Kulluka's recension became highly influential in later printed editions",OPEN,,,,,
C-009,"William Jones explicitly based his translation on the text/gloss associated with Kulluka",OPEN,,,,,
C-010,"Buhler's textual methodology differs materially from Jones's",OPEN,,,,,
C-011,"Some differences between modern quotations of Manusmriti and the critical text may originate in recension, transmission, editorial or translation history",OPEN,,,,,
C-012,"A controversial passage cannot be classified as an interpolation solely because of its subject matter",OPEN,,,,,
